date,structure,S_open,S_close,iv,gross_credit,pnl,vix_prev,put_strike,put_credit,put_exit,put_reason,put_pnl,call_strike,call_credit,call_exit,call_reason,call_pnl
2026-05-21,strangle,738.64,742.72,0.1744,365.79,363.19,17.44,738,2.86,0.0,expire,284.44,746,0.8,0.0,expire,78.74
2026-05-22,strangle,746.24,745.64,0.1676,334.33,331.73,16.76,745,2.49,0.0,expire,248.01,753,0.85,0.0,expire,83.73
2026-05-26,strangle,750.01,750.59,0.167,340.77,338.17,16.7,749,2.6,0.0,expire,258.58,757,0.81,0.0,expire,79.58
2026-05-27,strangle,750.88,750.46,0.1701,354.58,351.98,17.01,750,2.72,0.0,expire,270.6,758,0.83,0.0,expire,81.38
2026-05-28,strangle,750.25,754.6,0.1629,322.01,319.41,16.29,749,2.42,0.0,expire,240.49,757,0.8,0.0,expire,78.92
2026-05-29,strangle,755.9,756.48,0.1574,336.72,334.12,15.74,755,2.49,0.0,expire,247.88,762,0.88,0.0,expire,86.24
2026-06-01,strangle,755.36,758.54,0.1532,292.18,289.58,15.32,754,2.21,0.0,expire,219.73,762,0.71,0.0,expire,69.85
2026-06-02,strangle,757.03,759.57,0.1605,324.5,321.9,16.05,756,2.5,0.0,expire,248.34,764,0.75,0.0,expire,73.56
2026-06-03,strangle,758.15,754.24,0.1577,313.31,34.71,15.77,757,2.4,2.76,expire,-37.77,765,0.74,0.0,expire,72.48
2026-06-04,strangle,752.1,757.09,0.1606,319.72,317.12,16.06,751,2.45,0.0,expire,243.49,759,0.75,0.0,expire,73.63
2026-06-05,strangle,752.31,737.55,0.154,293.96,-567.46,15.4,751,2.23,8.59,stop,-636.62,759,0.7,0.0,expire,69.16
2026-06-15,strangle,751.85,754.83,0.1768,377.45,374.85,17.68,751,2.86,0.0,expire,284.94,759,0.91,0.0,expire,89.91
2026-06-16,strangle,754.55,750.33,0.162,359.61,-9.99,16.2,754,2.73,3.67,expire,-94.9,761,0.86,0.0,expire,84.91
2026-06-17,strangle,750.93,740.96,0.1641,334.36,-492.6,16.41,750,2.58,8.24,stop,-567.23,758,0.76,0.0,expire,74.63
2026-06-22,strangle,747.7,744.39,0.164,357.42,93.82,16.4,747,2.67,2.61,expire,5.12,754,0.9,0.0,expire,88.7
2026-06-23,strangle,733.81,733.58,0.1728,352.64,350.04,17.28,733,2.73,0.0,expire,271.57,741,0.8,0.0,expire,78.46
2026-06-24,strangle,735.17,733.24,0.1949,393.74,315.14,19.49,734,2.98,0.76,expire,220.35,743,0.96,0.0,expire,94.79
2026-06-25,strangle,738.91,734.3,0.1863,396.31,-502.07,18.63,738,2.95,8.96,stop,-601.71,746,1.01,0.0,expire,99.65
2026-06-26,strangle,728.95,728.99,0.1889,395.66,-751.88,18.89,728,2.94,11.45,stop,-852.32,736,1.02,0.0,expire,100.44
2026-06-29,strangle,736.53,741.0,0.1841,397.65,395.05,18.41,736,3.08,0.0,expire,306.82,744,0.9,0.0,expire,88.22
2026-06-30,strangle,741.29,746.77,0.1765,357.86,355.26,17.65,740,2.61,0.0,expire,260.13,748,0.96,0.0,expire,95.13
2026-07-01,strangle,745.0,745.76,0.1645,329.71,327.11,16.45,744,2.54,0.0,expire,252.34,752,0.76,0.0,expire,74.77
2026-07-02,strangle,747.4,744.78,0.1659,326.06,201.46,16.59,746,2.4,1.22,expire,116.45,754,0.86,0.0,expire,85.01
2026-07-06,strangle,748.74,751.28,0.1615,349.06,346.46,16.15,748,2.61,0.0,expire,260.03,755,0.88,0.0,expire,86.43
2026-07-07,strangle,750.22,747.71,0.1557,300.14,168.54,15.57,749,2.3,1.29,expire,99.42,757,0.7,0.0,expire,69.12
2026-07-08,strangle,743.16,745.4,0.1613,314.41,311.81,16.13,742,2.4,0.0,expire,238.64,750,0.74,0.0,expire,73.18
2026-07-09,strangle,747.35,751.71,0.169,337.02,334.42,16.9,746,2.48,0.0,expire,246.29,754,0.89,0.0,expire,88.14
