date,status,reason,expected_bars,actual_bars,close_gap,missing_high,missing_low
2024-05-09,included,,7,7,0.04,0.0026,0.0
2024-05-10,included,,7,7,0.0,0.005,0.0
2024-05-13,included,,7,7,0.0,0.0,0.0
2024-05-14,included,,7,7,0.015,0.0,0.0
2024-05-15,included,,7,7,0.01,0.0,0.0
2024-05-16,included,,7,7,0.03,0.05,0.0
2024-05-17,included,,7,7,0.02,0.0,0.0
2024-05-20,included,,7,7,0.04,0.0,0.0
2024-05-21,included,,7,7,0.04,0.0,0.0
2024-05-22,included,,7,7,0.01,0.0,0.0
2024-05-23,included,,7,7,0.01,0.0,0.0
2024-05-24,included,,7,7,0.06,0.0,0.001
2024-05-28,included,,7,7,0.05,0.0,0.0
2024-05-29,included,,7,7,0.01,0.0,0.0
2024-05-30,included,,7,7,0.01,0.0,0.0
2024-05-31,included,,7,7,0.02,0.0,0.0
2024-06-03,included,,7,7,0.04,0.0,0.0
2024-06-04,included,,7,7,0.04,0.0,0.0
2024-06-05,included,,7,7,0.02,0.0,0.26
2024-06-06,included,,7,7,0.03,0.0,0.0
2024-06-07,included,,7,7,0.05,0.0,0.0
2024-06-10,included,,7,7,0.0,0.0,0.0
2024-06-11,included,,7,7,0.04,0.0,0.0
2024-06-12,included,,7,7,0.025,0.0,0.0
2024-06-13,included,,7,7,0.04,0.005,0.0
2024-06-14,included,,7,7,0.04,0.01,0.0
2024-06-17,included,,7,7,0.06,0.0,0.0
2024-06-18,included,,7,7,0.0,0.0,0.0
2024-06-20,included,,7,7,0.05,0.0,0.0
2024-06-21,included,,7,7,0.38,0.0,0.0
2024-06-24,included,,7,7,0.11,0.0,0.01
2024-06-25,included,,7,7,0.04,0.0,0.0
2024-06-26,included,,7,7,0.02,0.0,0.0
2024-06-27,included,,7,7,0.03,0.0,0.0
2024-06-28,included,,7,7,0.1299,0.0,0.0
2024-07-01,included,,7,7,0.03,0.0,0.0
2024-07-02,included,,7,7,0.04,0.03,0.0
2024-07-03,excluded,incomplete_session,4,3,,,
2024-07-05,included,,7,7,0.05,0.0,0.0
2024-07-08,included,,7,7,0.06,0.0,0.0
2024-07-09,included,,7,7,0.03,0.0,0.0
2024-07-10,included,,7,7,0.06,0.0,0.0
2024-07-11,included,,7,7,0.06,0.0,0.0
2024-07-12,included,,7,7,0.09,0.0,0.0
2024-07-15,included,,7,7,0.04,0.0029,0.0
2024-07-16,included,,7,7,0.015,0.0,0.0
2024-07-17,included,,7,7,0.01,0.0,0.0
2024-07-18,included,,7,7,0.0,0.0,0.0
2024-07-19,included,,7,7,0.04,0.0,0.0
2024-07-22,included,,7,7,0.0,0.0,0.0
2024-07-23,included,,7,7,0.05,0.005,0.0
2024-07-24,included,,7,7,0.02,0.0,0.0
2024-07-25,included,,7,7,0.0699,0.005,0.0
2024-07-26,included,,7,7,0.06,0.0,0.0
2024-07-29,included,,7,7,0.0,0.0,0.0
2024-07-30,included,,7,7,0.09,0.0,0.0
2024-07-31,included,,7,7,0.39,0.0,0.0
2024-08-01,included,,7,7,0.03,0.0012,0.0
2024-08-02,included,,7,7,0.09,0.0,0.0
2024-08-05,included,,7,7,0.03,0.0,0.0
2024-08-06,included,,7,7,0.04,0.0,0.0
2024-08-07,included,,7,7,0.0099,0.0,0.0019
2024-08-08,included,,7,7,0.02,0.0,0.0
2024-08-09,included,,7,7,0.08,0.0,0.0
2024-08-12,included,,7,7,0.01,0.0,0.0
2024-08-13,included,,7,7,0.03,0.0,0.0
2024-08-14,included,,7,7,0.03,0.0,0.0
2024-08-15,included,,7,7,0.0022,0.0,0.0
2024-08-16,included,,7,7,0.05,0.0,0.0
2024-08-19,included,,7,7,0.05,0.03,0.0
2024-08-20,included,,7,7,0.08,0.0,0.0
2024-08-21,included,,7,7,0.08,0.0,3.26
2024-08-22,included,,7,7,0.0099,0.0,0.0
2024-08-23,included,,7,7,0.04,0.0,0.0
2024-08-26,included,,7,7,0.06,0.0,0.0
2024-08-27,included,,7,7,0.0282,0.0,0.0
2024-08-28,included,,7,7,0.03,0.0,0.0
2024-08-29,included,,7,7,0.05,0.0,0.0
2024-08-30,included,,7,7,0.1,0.0,0.0
2024-09-03,included,,7,7,0.06,0.0,0.0
2024-09-04,included,,7,7,0.11,0.0,0.0
2024-09-05,included,,7,7,0.04,0.0005,0.0
2024-09-06,included,,7,7,0.06,0.0,0.0
2024-09-09,included,,7,7,0.01,0.0,0.0
2024-09-10,included,,7,7,0.03,0.0,0.0
2024-09-11,included,,7,7,0.06,0.0,0.0
2024-09-12,included,,7,7,0.08,0.0,0.0
2024-09-13,included,,7,7,0.05,0.0,0.0
2024-09-16,included,,7,7,0.02,0.0,0.0
2024-09-17,included,,7,7,0.03,0.0,0.005
2024-09-18,included,,7,7,0.06,0.0,0.0
2024-09-19,included,,7,7,0.06,0.0,0.0
2024-09-20,included,,7,7,0.15,0.0,0.0
2024-09-23,included,,7,7,0.05,0.0,0.0
2024-09-24,included,,7,7,0.06,0.0,0.0
2024-09-25,included,,7,7,0.04,0.0,0.0
2024-09-26,included,,7,7,0.05,0.0,0.0
2024-09-27,included,,7,7,0.06,0.0,0.0
2024-09-30,included,,7,7,0.26,0.0,0.15
2024-10-01,included,,7,7,0.07,0.6,0.0
2024-10-02,included,,7,7,0.01,0.0,0.0
2024-10-03,included,,7,7,0.04,0.0,0.0
2024-10-04,included,,7,7,0.06,0.0,0.0
2024-10-07,included,,7,7,0.01,0.0001,0.0
2024-10-08,included,,7,7,0.06,0.0,0.0
2024-10-09,included,,7,7,0.02,0.0,0.0
2024-10-10,included,,7,7,0.025,0.0,0.0
2024-10-11,included,,7,7,0.03,0.0,0.08
2024-10-14,included,,7,7,0.03,0.0,0.06
2024-10-15,included,,7,7,0.03,0.0,0.005
2024-10-16,included,,7,7,0.06,0.0,0.0
2024-10-17,included,,7,7,0.0699,0.0,0.0
2024-10-18,included,,7,7,0.02,0.0,0.0
2024-10-21,included,,7,7,0.04,0.0,0.0001
2024-10-22,included,,7,7,0.0,0.0,0.0
2024-10-23,included,,7,7,0.06,0.07,0.0
2024-10-24,included,,7,7,0.06,0.0,0.0
2024-10-25,included,,7,7,0.025,0.0,0.0
2024-10-28,included,,7,7,0.06,0.0,0.0
2024-10-29,included,,7,7,0.065,0.003,0.0
2024-10-30,included,,7,7,0.05,0.0,0.0
2024-10-31,included,,7,7,0.07,0.0,0.0
2024-11-01,included,,7,7,0.02,0.0,0.0
2024-11-04,included,,7,7,0.03,0.0,0.0
2024-11-05,included,,7,7,0.02,0.03,0.0
2024-11-06,included,,7,7,0.0,0.0,0.0
2024-11-07,included,,7,7,0.06,0.0,0.0
2024-11-08,included,,7,7,0.05,0.0,0.0
2024-11-11,included,,7,7,0.04,0.0,0.0
2024-11-12,included,,7,7,0.03,0.0,0.08
2024-11-13,included,,7,7,0.02,0.0,0.0
2024-11-14,included,,7,7,0.02,0.0,0.0
2024-11-15,included,,7,7,0.03,0.0,0.0
2024-11-18,included,,7,7,0.0,0.0,0.0
2024-11-19,included,,7,7,0.02,0.0,0.0
2024-11-20,included,,7,7,0.02,0.0,0.0
2024-11-21,included,,7,7,0.06,0.0,0.0
2024-11-22,included,,7,7,0.02,0.0,0.0025
2024-11-25,included,,7,7,0.08,0.0,0.0
2024-11-26,included,,7,7,0.08,0.0,0.0
2024-11-27,included,,7,7,0.04,0.0,0.0
2024-11-29,excluded,incomplete_session,4,3,,,
2024-12-02,included,,7,7,0.04,0.0,0.0
2024-12-03,included,,7,7,0.06,0.0,0.001
2024-12-04,included,,7,7,0.08,0.0,0.0
2024-12-05,included,,7,7,0.05,0.0,0.005
2024-12-06,included,,7,7,0.08,0.0,0.0
2024-12-09,included,,7,7,0.05,0.0,0.0
2024-12-10,included,,7,7,0.07,0.0,0.0
2024-12-11,included,,7,7,0.04,0.0,0.0
2024-12-12,included,,7,7,0.04,0.0,0.01
2024-12-13,included,,7,7,0.05,0.0,0.0
2024-12-16,included,,7,7,0.02,0.0005,0.0
2024-12-17,included,,7,7,0.05,0.0,0.0
2024-12-18,included,,7,7,0.02,0.0049,0.0
2024-12-19,included,,7,7,0.02,0.0,0.0
2024-12-20,included,,7,7,0.2401,0.0,0.0
2024-12-23,included,,7,7,0.09,0.0,0.001
2024-12-24,excluded,incomplete_session,4,3,,,
2024-12-26,included,,7,7,0.11,0.0,0.0025
2024-12-27,included,,7,7,0.02,0.0039,0.0047
2024-12-30,included,,7,7,0.04,0.0,0.0
2024-12-31,included,,7,7,0.07,0.0001,0.0
